region_id,Median_age_of_persons,Median_mortgage_repayment_monthly,Median_total_personal_income_weekly,Median_rent_weekly,Median_total_family_income_weekly,Average_number_of_Persons_per_bedroom,Median_total_household_income_weekly,Average_household_size,Total_Persons_Persons,SA2_NAME,AREA_SQKM,Persons_Total_Volunteer
214011376,33,1974,731,360,1771,1.1,1680,3,10550,Skye - Sandhurst,19.81540531,967
214021377,49,1539,485,270,1115,1,907,2.2,9014,Dromana,45.05809729,1415
214021378,49,1800,653,200,1684,1.1,1442,2.6,5331,Flinders,287.4170692,1244
214021379,38,1582,539,230,1253,1.1,1010,2.5,20299,Hastings - Somers,108.8851399,2959
214021380,43,1733,555,280,1358,1,1025,2.3,22421,Mornington,21.08987296,3201
214021381,43,2167,661,350,1986,1,1696,2.8,17247,Mount Eliza,23.21001067,2872
214021382,41,1950,617,346,1676,1,1415,2.7,17087,Mount Martha,30.19249024,2670
214021383,49,1573,491,251,1109,1,877,2.2,16127,Point Nepean,67.17285789,2564
214021384,51,1500,422,240,970,1.1,748,2.1,19622,Rosebud - McCrae,23.68827412,2736
214021385,38,1600,573,270,1468,1.1,1278,2.7,17452,Somerville,117.3529586,2256
215011386,43,1020,488,160,1081,1.1,850,2.3,8076,Ararat,161.178648,1485
215011387,49,938,462,78,1033,1.1,844,2.3,2907,Ararat Region,4023.438761,945
215011388,39,1192,531,170,1202,1.1,932,2.3,15894,Horsham,83.0693951,3620
215011389,44,1083,528,80,1231,1.1,1026,2.6,3410,Horsham Region,4251.760231,1070
215011390,47,758,444,115,988,1.1,789,2.3,7195,Nhill Region,11042.81926,2300
215011391,47,867,398,122,932,1.1,732,2.3,3585,St Arnaud,3008.575155,985
215011392,44,1000,466,145,1123,1.1,859,2.3,8270,Stawell,2741.553839,1710
215011393,47,834,493,52,1062,1.1,809,2.2,2883,West Wimmera,5686.070812,950
215011394,48,650,426,110,987,1.1,767,2.3,7028,Yarriambiack,7139.581267,2241
215021395,40,1319,505,168,1274,1.1,1061,2.7,6477,Irymple,88.25808863,1039
215021396,42,1157,427,160,1034,1.1,853,2.6,4641,Merbein,101.8243284,793
215021397,37,1300,462,180,1064,1.1,854,2.4,30647,Mildura,76.15136364,4357
215021398,45,1000,484,90,1161,1.1,901,2.4,3806,Mildura Region,21569.52963,1073
215021399,40,1083,426,150,1060,1.1,853,2.5,5405,Red Cliffs,246.7198783,870
215031400,48,737,406,100,961,1.1,742,2.3,6387,Buloke,8068.684731,2228
215031401,47,1000,430,110,965,1.1,785,2.3,6495,Gannawarra,3568.217374,1731
215031402,47,867,407,135,968,1.1,730,2.2,3873,Kerang,146.607756,1017
215031403,37,1055,443,150,1054,1.2,891,2.8,3471,Robinvale,181.7432211,510
215031404,38,1300,508,170,1139,1.1,884,2.4,10430,Swan Hill,126.5657314,2202
215031405,41,953,453,120,1026,1.1,878,2.6,6550,Swan Hill Region,5759.227693,1394
216011406,40,1473,509,200,1159,1.1,932,2.4,14191,Echuca,183.8169247,2510
216011407,41,1237,458,160,1076,1.1,859,2.4,10736,Kyabram,738.8613176,2132
216011408,42,1200,441,100,1066,1.1,899,2.7,3726,Lockington - Gunbower,1646.358221,815
216011409,46,1109,466,140,1158,1.1,901,2.4,3798,Rochester,351.6445541,945
216011410,48,953,393,125,941,1.1,768,2.3,4098,Rushworth,1633.885924,954
216021411,42,1300,422,170,963,1.1,792,2.4,6245,Cobram,131.7200176,985
216021412,45,1085,471,100,1051,1.1,909,2.5,2559,Moira,1498.816833,577
216021413,42,1083,438,150,1019,1.1,835,2.5,12262,Numurkah,2321.017238,2640
216021414,47,1387,435,190,987,1.1,809,2.3,7057,Yarrawonga,94.99936216,1291
216031415,38,1300,478,175,1101,1.1,848,2.4,7813,Mooroopna,39.97334628,1166
216031416,37,1361,543,190,1272,1.1,1016,2.5,17232,Shepparton - North,65.66480981,2582
216031417,36,1400,495,200,1184,1.1,986,2.6,21457,Shepparton - South,143.24309,2780
216031418,40,1309,553,150,1381,1.1,1211,2.7,3926,Shepparton Region - East,1055.60234,898
216031419,40,1300,489,160,1153,1.1,967,2.6,9792,Shepparton Region - West,1028.722412,1852
217011420,45,1000,442,120,1122,1.1,865,2.4,8831,Glenelg (Vic.),6121.088078,2384
217011421,43,1127,512,165,1212,1.1,903,2.3,10104,Hamilton (Vic.),198.3366513,2297
217011422,41,1235,480,180,1226,1.1,930,2.3,10715,Portland,63.98505742,2183
217011423,44,975,491,100,1165,1.1,918,2.4,6347,Southern Grampians,6563.766691,1987
217021424,46,1083,446,160,1038,1.1,807,2.3,3463,Camperdown,98.11909156,778
217021425,40,1298,498,180,1173,1.1,906,2.4,11778,Colac,54.73466107,1880
217021426,42,1254,509,145,1210,1.1,979,2.6,5318,Colac Region,1934.276411,1242
217021427,45,888,439,120,1066,1.1,818,2.4,5397,Corangamite - North,2538.346792,1406
217021428,40,1083,528,120,1235,1.1,1028,2.7,7474,Corangamite - South,1805.188682,1651
217021429,40,1192,541,120,1273,1.1,1050,2.6,6707,Moyne - East,3277.992013,1650
217021430,42,1300,521,180,1272,1.1,1028,2.5,8890,Moyne - West,2035.718874,2147
217021431,49,1300,475,195,1039,1.1,841,2.2,3268,Otway,1505.900218,905
217021432,37,1512,536,220,1289,1.1,1047,2.5,19542,Warrnambool - North,62.41964612,3597
217021433,39,1430,525,220,1316,1.1,998,2.3,12838,Warrnambool - South,120.1940409,2543
