SA1_MAINCODE_2011,SSC_CODE_2011
12003139001,10063
12003139048,10063
12003139009,10063
12003139026,10063
12003139033,10063
12003139032,10063
12003139003,10063
12003139037,10063
12003139018,10063
12003139022,10063
12003139005,10063
12003139007,10063
12003139040,10063
12003139010,10063
12003139045,10063
12003139041,10063
12003139035,10063
12003139039,10063
12003139027,10063
12003139044,10063
12003139047,10063
12003139052,10063
12003139015,10063
12003139053,10063
12003139002,10063
12003139051,10063
12003139014,10063
12003139024,10063
12003139038,10063
12003139012,10063
12003139043,10063
11002119201,10064
11002119208,10064
11002119202,10064
11003119616,10065
11303127009,10066
11303127006,10066
11303127016,10066
11303127003,10066
11303127010,10066
11303127004,10066
11303127007,10066
11303127021,10066
11303127005,10066
11303127008,10066
10602111555,10067
10602111557,10067
10602111548,10067
10602111551,10067
10602111552,10067
10602111549,10067
10602111523,10067
10602111553,10067
10602111556,10067
10602111559,10067
10602111558,10067
10602111550,10067
12102140325,10068
12102140324,10068
12102140312,10068
12102140313,10068
12102140314,10068
12102140307,10068
12102140323,10068
12102140311,10068
11004120545,10069
11004120507,10069
12501147245,10070
12501147243,10070
12501147220,10070
12501147270,10070
12501147216,10070
12501147274,10070
12501147258,10070
12501147239,10070
12501147238,10070
12501147255,10070
12501147263,10070
12501147230,10070
12501147247,10070
12501147233,10070
12501147222,10070
12501147206,10070
12501147268,10070
12501147208,10070
12501147201,10070
12501147267,10070
12501147251,10070
12501147215,10070
12501147275,10070
12501147217,10070
12501147256,10070
12501147221,10070
12501147225,10070
12501147242,10070
12501147269,10070
12501147246,10070
12501147204,10070
12501147252,10070
12501147262,10070
12501147234,10070
12501147240,10070
12501147248,10070
12501147219,10070
12501147236,10070
12501147244,10070
12501147273,10070
12501147214,10070
12501147211,10070
12501147210,10070
12501147241,10070
12501147259,10070
12501147212,10070
12501147235,10070
12501147213,10070
12501147231,10070
12501147218,10070
12501147207,10070
12501147254,10070
12501147260,10070
12501147271,10070
12501147202,10070
12501147232,10070
12501147272,10070
12501147224,10070
12501147227,10070
12501147249,10070
12501147229,10070
12501147223,10070
12501147226,10070
12501147205,10070
12501147203,10070
12501147253,10070
12501147276,10070
12501147250,10070
12501147264,10070
12501147257,10070
12501147265,10070
12501147228,10070
12501147209,10070
12501147266,10070
12501147237,10070
12501147261,10070
10704114823,10071
10704114820,10071
10704114809,10071
10704114806,10071
10704114830,10071
10704114821,10071
10704114808,10071
10704114807,10071
12701150506,10072
12701150504,10072
12701150502,10072
12701150522,10072
12701150501,10072
12701150503,10072
12701150505,10072
12202142012,10073
12202142030,10073
12202142023,10073
12202142027,10073
12202142013,10073
12202142001,10073
12202142019,10073
12202142021,10073
12202142029,10073
12202142014,10073
12202142025,10073
12202142024,10073
12202142003,10073
12202142026,10073
12202142009,10073
12202142015,10073
12202142020,10073
12202142008,10073
12202142016,10073
12202142010,10073
12202142022,10073
12202142017,10073
12202142011,10073
12202142007,10073
12202142028,10073
10201102805,10074
10201102804,10074
10201102817,10074
10201102809,10074
10201102807,10074
10201102808,10074
10201102818,10074
10201102801,10074
10201102802,10074
10201102806,10074
10201102803,10074
11102121921,10075
11102121925,10075
11402128623,10076
11003119808,10077
11202124512,10078
12701150515,10079
11402128606,10080
