region_id,Total_Persons_Persons,Median_age_of_persons,Median_total_personal_income_weekly,Median_rent_weekly,Persons_Total_Volunteer,Persons_Year_12_or_equivalent_Total,Born_elsewhere_Persons,No_Internet_connection_Total,Different_usual_address_5_years_ago_Total_Persons,No_Religion_Persons,SA2_NAME,AREA_SQKM
213011331,8443,33,439,270,508,3042,946,496,1881,762,Delahey,3.505506635
213011332,13469,38,470,280,1107,5331,955,833,2796,1463,Keilor Downs,7.659809639
213011333,13529,35,367,250,806,4505,1428,1140,2861,1253,Kings Park (Vic.),4.43204758
213011334,18884,36,357,250,1153,6502,1849,2132,5412,1785,St Albans - North,6.522270953
213011335,16209,36,346,250,1000,5747,1381,1603,4519,1553,St Albans - South,6.265224571
213011336,8838,34,412,254,928,3610,1044,804,3181,1349,Sunshine,4.7318584
213011337,10636,37,353,254,690,3707,930,1078,2855,1366,Sunshine North,8.022928529
213011338,16747,37,366,260,1110,5838,1719,1705,4261,1750,Sunshine West,12.96902272
213011339,11529,31,610,300,986,4662,751,513,3606,1329,Sydenham,3.948304956
213011340,17936,38,570,330,1608,7536,847,772,3211,1593,Taylors Lakes,18.46292527
213021341,11779,42,573,280,1611,4705,466,1232,3775,2809,Altona,17.68484144
213021342,18746,37,528,275,1629,7042,959,1328,5142,3205,Altona Meadows,10.54008758
213021343,13010,38,409,270,998,4203,724,1592,3734,1790,Altona North,16.18434249
213021344,16157,36,761,321,2259,7580,565,1129,5895,4768,Newport,8.840058286
213021345,4972,35,618,290,461,1890,284,205,1256,941,Seabrook,1.619894946
213021346,14747,41,752,305,2490,7020,460,976,4882,4182,Williamstown,7.346924857
213031347,15932,32,379,243,1358,6669,1473,1429,6042,2780,Braybrook,7.483014512
213031348,13203,32,487,260,1533,6866,1213,1039,5866,3399,Footscray,4.967185113
213031349,10165,32,701,348,1068,5574,628,471,4376,2275,Maribyrnong,5.495089676
213031350,8358,35,770,285,1060,4495,511,614,3258,2904,Seddon - Kingsville,1.680071789
213031351,10230,35,547,250,1174,4896,891,959,3681,2492,West Footscray - Tottenham,5.981010515
213031352,13747,36,767,323,1811,6916,494,960,5011,4677,Yarraville,5.620441176
213041353,17155,37,560,220,2401,5005,216,1230,6023,4648,Bacchus Marsh,196.3229189
213041354,26068,31,683,325,1960,11215,2263,1000,11497,3441,Caroline Springs,11.49292617
213041355,15543,32,641,300,1192,5792,810,439,4369,1748,Hillside,66.5465454
213041356,17701,34,523,240,1504,4815,821,1380,6348,4087,Melton,130.7121491
213041357,15803,33,529,240,1387,4306,543,1109,6291,3699,Melton South,110.9626696
213041358,14171,30,611,265,1186,4177,581,749,5654,3307,Melton West,24.20224333
213041359,2660,37,481,175,139,386,109,160,391,259,Rockbank - Mount Cottrell,125.7586487
213041360,15465,30,688,325,1056,6585,1122,463,7055,1699,Taylors Hill,5.976597677
213051361,18978,33,579,261,1845,6655,1141,826,5181,3197,Hoppers Crossing - North,11.08827302
213051362,18620,36,517,254,1982,6439,1214,1126,5161,3357,Hoppers Crossing - South,7.010861207
213051363,5351,31,462,260,434,2178,527,428,2402,974,Laverton,22.24465527
213051364,32413,31,849,350,2820,15792,1972,742,18033,7319,Point Cook,36.94872909
213051365,21975,29,702,300,1814,8918,1791,835,12578,3580,Tarneit,62.12163026
213051366,11168,29,724,300,760,4775,1258,463,6501,1791,Truganina,27.01027653
213051367,29742,35,523,245,2981,9184,1836,2023,9294,5797,Werribee,135.4211142
213051368,10476,41,522,231,1175,3504,374,963,3307,1681,Werribee - South,114.0334422
213051369,17305,30,659,279,1432,5700,883,777,8054,4187,Wyndham Vale,128.239646
214011370,19122,34,591,290,1541,5776,755,1134,7071,5051,Carrum Downs,20.3077626
214011371,21583,38,530,250,2618,7706,800,1959,8343,6313,Frankston,11.62501233
214011372,19061,38,456,250,1870,5225,678,1843,6314,5538,Frankston North,13.23852393
214011373,17612,43,595,301,2654,7035,423,1011,5570,5106,Frankston South,14.56052447
214011374,22498,36,627,280,2452,7207,329,1043,7402,6913,Langwarrin,37.61962321
214011375,16033,39,559,250,1942,5521,518,1523,5146,4742,Seaford (Vic.),12.43171159
214011376,10550,33,731,360,967,3853,433,327,4991,2847,Skye - Sandhurst,19.81540531
214021377,9014,49,485,270,1415,2794,178,862,3352,2306,Dromana,45.05809729
