region_id,Median_age_of_persons,Median_mortgage_repayment_monthly,Median_total_personal_income_weekly,Median_rent_weekly,Median_total_family_income_weekly,Average_number_of_Persons_per_bedroom,Median_total_household_income_weekly,Average_household_size,Owned_outright_Total,Owned_with_a_mortgage_Total,Total_Persons_Persons
3105218,35,2383,707,360,2333,1.1,1807,2.4,29,37,343
3105219,32,2167,703,275,1802,1.2,1418,2.2,54,77,707
3105220,33,2000,671,335,2114,1.1,1525,2.3,54,87,754
3105221,30,2032,729,310,2011,1.2,1416,2.4,46,68,689
3105222,31,2058,850,330,2250,1.1,1812,2.5,35,54,371
3105223,36,1300,848,290,2263,1,1766,2.5,39,44,326
3105224,34,1800,790,330,2146,1.2,1569,2.2,19,61,427
3105225,31,2000,685,250,1454,1.1,1109,2.1,30,34,375
3105301,33,1907,918,335,1845,1.1,1262,1.9,45,57,396
3105302,31,1703,942,350,1774,1.1,1442,1.8,62,72,516
3105303,32,2000,852,380,1946,1.1,1734,2.7,29,60,477
3105305,33,2600,891,370,2227,1.1,1673,2.5,29,57,332
3105306,30,2167,750,320,1552,1.2,1233,2,38,77,634
3105307,34,2100,796,320,1833,1.1,1133,1.7,30,45,406
3105308,31,1882,820,315,1812,1.1,1305,1.9,42,78,605
3105309,36,1795,730,275,2416,1.1,1416,2.3,35,43,359
3105310,35,2600,736,310,1305,1.1,1065,1.8,51,34,405
3105311,32,1500,819,320,1646,1.1,1468,2,29,36,314
3105312,32,2269,773,325,1714,1.1,1271,1.9,40,57,466
3105313,31,1950,671,290,1458,1.1,1292,2,10,23,310
3105314,34,1842,880,350,2100,1.1,1534,2.2,32,52,352
3105315,31,1593,758,290,1117,1.2,1258,1.9,19,27,346
3105316,37,2054,774,340,1569,1.1,1223,1.8,43,72,581
3105317,33,2500,890,340,2527,1.1,1795,2.6,21,34,283
3105318,34,1733,983,345,2021,1.1,1511,2.1,34,53,329
3105319,29,2000,936,400,2681,1.1,2236,2.7,30,48,377
3105320,34,3120,863,333,2691,1.1,2374,3,47,54,451
3105321,36,2300,744,400,2269,1.1,1865,2.4,47,49,384
3105322,35,1800,1025,390,2269,1.1,2068,2.5,42,38,312
3105323,32,1950,756,290,1625,1.2,1144,1.9,24,44,367
3105324,33,2100,737,320,1451,1.1,1273,1.9,38,28,388
3105325,33,2350,869,360,2022,1.1,1796,2.8,33,38,334
3105326,32,2200,784,280,1771,1.1,1209,2,39,73,614
3105327,39,2200,791,300,2050,1.1,1399,2.5,43,43,309
3105328,30,2895,822,385,2457,1,2029,2.6,35,52,393
3105329,32,2744,1013,430,2408,1.1,2446,2.8,38,77,468
3105330,38,3000,682,395,2524,1.1,1974,2.8,66,51,402
3105331,38,2000,847,370,2660,1,2516,2.7,51,63,418
3105332,36,1984,793,368,2536,1,2437,2.8,49,54,423
3105333,36,2124,885,375,2382,1.1,2171,2.8,37,69,409
3105334,37,2000,917,375,2944,1.1,2392,2.8,59,57,415
3105335,38,1300,868,330,2399,1,1799,2.8,43,39,299
3105336,34,3000,937,360,2621,1,2444,3.1,101,75,672
3105337,30,2000,951,390,2044,1.1,1773,2.2,14,39,386
3105401,38,1192,658,285,2416,1.1,1583,2.6,15,15,168
3105402,31,1508,588,310,1515,1.2,1343,2.3,25,39,318
3105403,29,2084,677,420,1983,1.1,1714,2.6,29,48,495
3105404,34,1738,735,450,2416,1.1,1681,2.8,58,68,575
3105405,39,3000,700,460,2042,1.1,2194,2.6,33,32,301
3105406,29,1600,581,265,1452,1.1,1135,2.3,37,51,473
3105407,32,1170,549,350,2143,1.1,1305,2.6,39,32,390
3105408,33,2167,431,380,1421,1.1,984,2.7,38,33,439
3105409,45,1000,366,90,900,1.1,382,1.6,8,15,331
3105410,32,2100,621,340,2216,1.2,1633,2.8,59,47,537
3105501,32,2383,791,250,1887,1.1,1358,2,23,40,371
3105502,33,2500,839,370,2363,1.1,2036,2.7,33,49,393
