region_id,Median_age_of_persons,Median_mortgage_repayment_monthly,Median_total_personal_income_weekly,Median_rent_weekly,Median_total_family_income_weekly,Average_number_of_Persons_per_bedroom,Median_total_household_income_weekly,Average_household_size,Total_Persons_Persons
3135511,28,2167,579,340,1766,1.3,1678,3.1,5
3135512,68,0,350,0,700,1,700,2,428
3135601,37,1950,726,400,1714,1.1,1583,2.8,383
3135602,39,2167,606,280,1387,1.1,1008,2.3,294
3135603,29,2154,614,360,1625,1.1,1516,2.8,588
3135604,40,2167,745,360,1723,1.1,1570,2.7,628
3135605,31,2000,742,240,1537,1.1,1550,2.7,390
3135606,36,1820,678,340,1635,1.1,1528,2.6,370
3135607,38,1733,669,300,1484,1.1,1214,2.1,364
3135608,33,1452,670,300,1694,1.2,1046,1.9,407
3135609,34,1850,714,355,1625,1.1,1437,2.4,359
3135610,33,1875,645,250,1785,1.2,945,2.1,378
3135611,40,1550,681,250,1424,1.1,981,2.2,105
3135612,36,2019,719,300,1661,1.2,1449,2.7,309
3135613,43,1083,632,385,1803,1,1333,2.5,672
3135615,43,1842,682,300,1833,1.2,1474,2.4,751
3135616,38,2000,668,300,1553,1.1,1424,2.5,397
3135617,33,1733,743,350,1641,1.1,1700,2.9,260
3135618,37,2600,587,163,1152,1.1,1083,2.7,279
3135619,27,1467,560,160,1325,1.1,1114,2.8,502
3135701,44,2332,609,300,1607,1.2,1708,2.9,237
3135702,39,1582,605,173,1454,1.1,1694,3,459
3135703,39,680,751,0,1812,1.1,1569,2.7,572
3135704,40,1408,625,240,1533,1.1,1416,2.7,357
3135705,43,1300,695,300,1976,1.1,1558,2.7,527
3135706,33,1975,780,250,2250,1.1,1978,2.9,391
3135707,38,2300,675,120,1666,1.2,1796,2.9,635
3135708,43,1430,717,100,1886,1.1,1729,2.8,1057
3135709,37,2297,822,390,2233,1.1,2019,2.7,455
3135710,39,1733,700,0,1937,1.1,2730,3.1,306
3135711,39,1543,654,300,1722,1.1,1571,2.6,823
3135712,39,1753,809,95,2318,1.1,2096,3.2,269
3135713,38,1300,711,260,1625,1.1,1535,2.8,621
3135714,35,2141,733,200,1687,1.1,1468,2.9,458
3135715,38,2167,611,190,1392,1.2,1399,2.8,307
3135716,33,2275,604,300,2083,1.1,1750,2.8,181
3135717,38,1900,664,230,1643,1,1476,2.5,587
3135718,35,1300,488,220,1375,1.1,1174,2.6,362
3135719,30,2167,825,445,1954,1,2230,2.9,202
3135720,29,2186,915,430,1990,1.1,1949,2.9,266
3135721,35,1600,625,250,1652,1.2,1529,2.9,433
3135722,39,2084,660,300,1625,1.1,1536,2.8,201
3135723,29,2200,778,420,2378,1,2283,3,292
3135801,38,1300,606,350,1519,1.1,1021,2.3,463
3135802,37,2167,707,300,1937,1.1,1375,2.4,236
3135803,33,2234,712,330,1286,1.1,1292,2.6,219
3135804,45,1950,500,300,1716,1.1,1241,2.4,423
3135805,41,1733,586,170,1894,1.1,815,1.9,14
3135806,35,2275,871,380,2431,1.1,2250,2.5,231
3135807,54,1517,866,500,3750,1,2562,4,481
3135808,33,1733,739,298,1516,1.2,1156,2.2,461
3135809,41,1950,690,313,1921,1.1,1650,2.2,255
3135810,36,1907,722,330,1680,1.2,1330,2.7,403
3135811,46,2167,464,245,1239,1.2,1142,2.1,277
3135812,41,2400,704,383,1583,1.1,1446,2.7,622
3135813,34,1825,689,240,1333,1.1,1010,2.1,522
3135814,33,1733,686,240,1181,1.1,1267,2.3,366
3135815,34,1733,717,220,1937,1.1,1437,2.6,598
3135816,35,2427,710,315,1840,1.1,1559,2.8,325
3135817,43,1798,757,350,1815,1,1750,2.6,278
3135901,35,2000,693,325,1395,1.1,1449,2.3,521
3135902,35,4000,602,100,1750,1.2,833,1.4,477
3135903,34,2600,787,270,1833,1.2,1325,1.7,318
3135904,34,2200,655,350,1375,1.1,1266,2.6,564
3135905,28,4167,853,340,2100,1.3,1805,2.2,476
3135906,26,0,743,95,0,1,1375,1,245
3135907,40,1759,748,400,1849,1.1,1933,2.9,332
3135908,34,2167,736,310,1312,1.1,1333,2.4,238
3135909,30,1540,666,250,1482,1.1,1183,2.5,0
3135910,34,1554,697,300,1327,1.1,1167,2,230
3135911,37,2032,752,360,1512,1.1,1520,2.5,461
3135912,34,2802,696,425,2022,1.1,1887,2.7,504
3135913,33,1564,649,260,1526,1.1,1149,2.4,483
3135914,34,2167,716,330,1537,1.1,1268,2.4,383
3135915,35,1133,587,280,942,1.1,1012,1.7,87
3135916,56,2600,486,203,1375,1.3,724,1.7,30
3135918,59,6067,744,620,2036,1.1,1375,1.7,398
3135919,39,1200,678,410,1687,1,1109,2.2,747
3135920,33,1993,664,370,1343,1.1,1392,2.2,1119
3135921,35,2202,737,315,1480,1.1,1351,2.3,636
3135922,31,1946,727,307,1489,1.1,1403,2.5,189
3135923,35,2058,585,250,1083,1.2,933,2.3,670
3135924,39,1837,671,270,1281,1.1,919,2.3,471
3135925,35,1747,633,263,1089,1.1,872,2.1,909
3135926,39,2434,657,270,1228,1.1,883,2,367
