sa1,ssc
1135310,10102
1135327,10102
1135354,10102
1135357,10102
1135367,10102
1135328,10102
1135311,10102
1135335,10102
1135339,10102
1135301,10102
1135315,10102
1135356,10102
1135333,10102
1135363,10102
1135309,10102
1135352,10102
1135318,10102
1135337,10102
1135303,10102
1135330,10102
1135344,10102
1135348,10102
1135302,10102
1135359,10102
1135320,10102
1135343,10102
1135351,10102
1135362,10102
1135342,10102
1135331,10102
1135334,10102
1135326,10102
1135338,10102
1135366,10102
1135336,10102
1135306,10102
1135350,10102
1135369,10102
1135321,10102
1135322,10102
1135312,10102
1135365,10102
1135316,10102
1135319,10102
1135349,10102
1135372,10102
1135347,10102
1135358,10102
1135340,10102
1135305,10102
1135604,10103
1100232,10104
1100217,10105
1125550,10106
1125510,10106
1125557,10106
1125551,10106
1125515,10106
1125502,10106
1125552,10106
1125530,10106
1125532,10106
1125529,10106
1125555,10106
1125508,10106
1125562,10106
1125546,10106
1125509,10106
1125549,10106
1125541,10106
1125540,10106
1125547,10106
1125527,10106
1125531,10106
1125544,10106
1125504,10106
1125524,10106
1125516,10106
1125543,10106
1125511,10106
1125528,10106
1125521,10106
1125505,10106
1125535,10106
1125563,10106
1125533,10106
1125506,10106
1125545,10106
1125503,10106
1125564,10106
1125556,10106
1125501,10106
1122921,10107
1122922,10107
1122923,10107
1103010,10108
1109901,10109
1109902,10109
1133727,10110
1109117,10111
1153526,10112
1153503,10112
1153524,10112
1153525,10112
1153504,10112
1153518,10112
1153501,10112
1153505,10112
1153523,10112
1153527,10112
1153502,10112
1137733,10113
1137521,10113
1137729,10113
1137731,10113
1137728,10113
1137732,10113
1137730,10113
1137529,10114
1137525,10114
1137524,10114
1137522,10114
1137523,10114
1137528,10114
1125908,10115
1125910,10115
1144508,10116
1144509,10116
1144511,10116
1144514,10116
1144515,10116
1144501,10116
1144512,10116
1144506,10116
1144510,10116
1144502,10116
1144504,10116
1144513,10116
1118306,10117
1118315,10117
1118304,10117
1118305,10117
1124709,10118
1106909,10119
1106911,10119
1122104,10120
1122118,10120
1122107,10120
1122102,10120
1122105,10120
1122106,10120
1118502,10121
1118521,10121
1118527,10121
1118501,10121
1120524,10122
1120517,10122
1120525,10122
1120522,10122
1120523,10122
1114315,10123
1114316,10123
1114330,10123
1114311,10123
1114329,10123
1114320,10123
1114317,10123
1114310,10123
1114318,10123
1114319,10123
1114307,10123
1114341,10123
1114313,10123
1114306,10123
1114303,10123
1114112,10124
1127206,10125
1116713,10126
1107619,10127
1127918,10128
1127903,10128
1127904,10128
1127919,10128
1127905,10128
1135450,10129
1135412,10129
1135408,10129
1135443,10129
1135410,10129
1135424,10129
1135448,10129
1135440,10129
1135441,10129
1135414,10129
1135415,10129
1135449,10129
1135419,10129
1135442,10129
1135409,10129
1135439,10129
1135436,10129
1135435,10129
1135413,10129
1104456,10130
1104413,10130
1104410,10130
1104457,10130
1104458,10130
1104407,10130
1104401,10130
1104425,10130
1104406,10130
1104408,10130
1104403,10130
1104424,10130
1104409,10130
1104438,10130
1104436,10130
1104459,10130
1104405,10130
1104428,10130
1104427,10130
1104414,10130
1104418,10130
1104439,10130
1104404,10130
1104402,10130
1104422,10130
1104412,10130
1104440,10130
1104437,10130
1104446,10130
1104411,10130
1104426,10130
1104435,10130
1104423,10130
1104421,10130
1101819,10131
1101823,10131
1101820,10131
1101821,10131
1101822,10131
1101718,10132
1101707,10132
1101706,10132
1101704,10132
1101705,10132
1105821,10133
1105825,10133
1105848,10133
1105817,10133
1105846,10133
1105822,10133
1105805,10133
1105819,10133
1105823,10133
1105820,10133
1105850,10133
1105824,10133
1105847,10133
1105814,10133
1105818,10133
1126201,10134
1126203,10134
1126215,10134
1126216,10134
1129030,10135
1129031,10135
1129006,10135
1129143,10135
1130702,10135
1129037,10135
1129033,10135
1129120,10135
1129041,10135
1129029,10135
1129147,10135
1129007,10135
1129034,10135
1129011,10135
1129115,10135
1129017,10135
1129123,10135
1129105,10135
1129133,10135
1129021,10135
1129008,10135
1129119,10135
1129132,10135
1129010,10135
1129012,10135
1129113,10135
1129047,10135
1129023,10135
1149103,10135
1129019,10135
1129024,10135
1129005,10135
1129002,10135
1129003,10135
1129118,10135
1129016,10135
1129043,10135
1129025,10135
1129114,10135
1129116,10135
1129146,10135
1129013,10135
1129107,10135
1129004,10135
1129035,10135
1129046,10135
1129036,10135
1129045,10135
1129001,10135
1129125,10135
1129134,10135
1129032,10135
1129139,10135
1129106,10135
1129042,10135
1129131,10135
1129142,10135
1129022,10135
1129028,10135
1129018,10135
1129020,10135
1129014,10135
1129044,10135
1129015,10135
1129141,10135
1129009,10135
1129122,10135
1129145,10135
1129140,10135
1129144,10135
1130703,10135
1129039,10135
1129038,10135
1129040,10135
1129027,10135
1129124,10135
1129121,10135
1129026,10135
1129109,10135
1100223,10136
1128314,10137
1128315,10137
1142123,10138
1142122,10138
1142121,10138
1142120,10138
1142109,10138
1142113,10138
1142108,10138
1142408,10139
1142402,10139
1142409,10139
1142418,10139
1142420,10139
1142419,10139
1142423,10139
1142403,10139
1142411,10139
1142404,10139
1142407,10139
1142422,10139
1142406,10139
1142410,10139
1142421,10139
1142401,10139
1133817,10140
1133816,10140
1127216,10141
1130216,10142
1130225,10142
1130214,10142
1130203,10142
1130205,10142
1130228,10142
1130206,10142
1130202,10142
1130224,10142
1130226,10142
1130223,10142
1130217,10142
1130213,10142
1130215,10142
1130204,10142
1130231,10142
1130222,10142
1130212,10142
1126621,10143
1106522,10144
1116614,10145
1147608,10146
1149628,10146
1149621,10146
1147641,10146
1147642,10146
1149643,10146
1149630,10146
1149647,10146
1147627,10146
1149615,10146
1149623,10146
1147640,10146
1149624,10146
1149622,10146
1149616,10146
1147607,10146
1149627,10146
1149614,10146
1149629,10146
1127311,10147
1125704,10148
1101921,10149
1101901,10149
1101902,10149
1101917,10149
1101908,10149
1101910,10149
1101904,10149
1101907,10149
1101920,10149
1101909,10149
1101906,10149
1101905,10149
1101903,10149
1117030,10150
1136227,10151
1136221,10151
1136225,10151
1136226,10151
1136212,10151
1136214,10151
1136216,10151
1136219,10151
1136218,10151
1136220,10151
1136217,10151
1136222,10151
1136213,10151
1107931,10152
1144805,10153
1129101,10154
1129111,10154
1129130,10154
1129110,10154
1129117,10154
1129138,10154
1129137,10154
1129104,10154
1129128,10154
1129127,10154
1129112,10154
1129126,10154
1129102,10154
1129129,10154
1129103,10154
1129108,10154
1129135,10154
1129136,10154
1114532,10155
1114535,10155
1114529,10155
1114528,10155
1114536,10155
1114534,10155
1114527,10155
1114530,10155
1114533,10155
1114531,10155
1116510,10156
1119811,10157
1127208,10158
1110849,10159
1110848,10159
