SA1_MAINCODE_2011,SA1_7DIGITCODE_2011,,,,,
10102101205,1101205,,,,,
10102101206,1101206,,,,,
10102101207,1101207,,,,,
10102101208,1101208,,,,,
10102101209,1101209,,,,,
10102101210,1101210,,,,,
10102101211,1101211,,,,,
10102101212,1101212,,,,,
10102101213,1101213,,,,,
10102101214,1101214,,,,,
10102101215,1101215,,,,,
10102101216,1101216,,,,,
10102101217,1101217,,,,,
10102101218,1101218,,,,,
10102101219,1101219,,,,,
10102101220,1101220,,,,,
10102101221,1101221,,,,,
10102101222,1101222,,,,,
10102101223,1101223,,,,,
10102101224,1101224,,,,,
10102101225,1101225,,,,,
10102101226,1101226,,,,,
10102101227,1101227,,,,,
10102101228,1101228,,,,,
10102101229,1101229,,,,,
10102101230,1101230,,,,,
10102101231,1101231,,,,,
10102101232,1101232,,,,,
10103101301,1101301,,,,,
10103101302,1101302,,,,,
10103101303,1101303,,,,,
10103101304,1101304,,,,,
10103101305,1101305,,,,,
10103101306,1101306,,,,,
10103101307,1101307,,,,,
10103101308,1101308,,,,,
10103101401,1101401,,,,,
10103101402,1101402,,,,,
10103101403,1101403,,,,,
10103101404,1101404,,,,,
10103101405,1101405,,,,,
10103101406,1101406,,,,,
10103101407,1101407,,,,,
10103101408,1101408,,,,,
10103101409,1101409,,,,,
10103101410,1101410,,,,,
10103101411,1101411,,,,,
10103101412,1101412,,,,,
10103101413,1101413,,,,,
10103101414,1101414,,,,,
10103101415,1101415,,,,,
10103101416,1101416,,,,,
10103101417,1101417,,,,,
10103101418,1101418,,,,,
10103101501,1101501,,,,,
10103101502,1101502,,,,,
10103101503,1101503,,,,,
10103101504,1101504,,,,,
10103101505,1101505,,,,,
10103101506,1101506,,,,,
10103101507,1101507,,,,,
10103101508,1101508,,,,,
10103101509,1101509,,,,,
10103101510,1101510,,,,,
10103101511,1101511,,,,,
10103101512,1101512,,,,,
10103101513,1101513,,,,,
10103101601,1101601,,,,,
10103101602,1101602,,,,,
10103101603,1101603,,,,,
10103101604,1101604,,,,,
10103101605,1101605,,,,,
10103101606,1101606,,,,,
10103101607,1101607,,,,,
10103101608,1101608,,,,,
10103101609,1101609,,,,,
10103101610,1101610,,,,,
10103101611,1101611,,,,,
10103101612,1101612,,,,,
10103101613,1101613,,,,,
10103101614,1101614,,,,,
10103101615,1101615,,,,,
10103101616,1101616,,,,,
10103101617,1101617,,,,,
10103101618,1101618,,,,,
10103101619,1101619,,,,,
10103101620,1101620,,,,,
10104101701,1101701,,,,,
10104101702,1101702,,,,,
10104101703,1101703,,,,,
10104101704,1101704,,,,,
10104101705,1101705,,,,,
10104101706,1101706,,,,,
10104101707,1101707,,,,,
10104101708,1101708,,,,,
10104101709,1101709,,,,,
10104101710,1101710,,,,,
10104101711,1101711,,,,,
10104101712,1101712,,,,,
10104101713,1101713,,,,,
10104101714,1101714,,,,,
10104101715,1101715,,,,,
10104101716,1101716,,,,,
10104101717,1101717,,,,,
10104101718,1101718,,,,,
10104101719,1101719,,,,,
10104101720,1101720,,,,,
10104101721,1101721,,,,,
10104101722,1101722,,,,,
10104101801,1101801,,,,,
10104101802,1101802,,,,,
10104101803,1101803,,,,,
10104101804,1101804,,,,,
10104101805,1101805,,,,,
10104101806,1101806,,,,,
10104101807,1101807,,,,,
10104101808,1101808,,,,,
10104101809,1101809,,,,,
10104101810,1101810,,,,,
10104101811,1101811,,,,,
10104101812,1101812,,,,,
10104101813,1101813,,,,,
10104101814,1101814,,,,,
10104101815,1101815,,,,,
10104101816,1101816,,,,,
10104101817,1101817,,,,,
10104101818,1101818,,,,,
10104101819,1101819,,,,,
10104101820,1101820,,,,,
10104101821,1101821,,,,,
10104101822,1101822,,,,,
10104101823,1101823,,,,,
10104101824,1101824,,,,,
10104101901,1101901,,,,,
10104101902,1101902,,,,,
10104101903,1101903,,,,,
10104101904,1101904,,,,,
10104101905,1101905,,,,,
10104101906,1101906,,,,,
10104101907,1101907,,,,,
10104101908,1101908,,,,,
10104101909,1101909,,,,,
10104101910,1101910,,,,,
10104101911,1101911,,,,,
10104101912,1101912,,,,,
10104101913,1101913,,,,,
10104101914,1101914,,,,,
10104101915,1101915,,,,,
10104101916,1101916,,,,,
10104101917,1101917,,,,,
10104101918,1101918,,,,,
10104101919,1101919,,,,,
10104101920,1101920,,,,,
10104101921,1101921,,,,,
10104101922,1101922,,,,,
10104102001,1102001,,,,,
10104102002,1102002,,,,,
10104102003,1102003,,,,,
10104102004,1102004,,,,,
10104102005,1102005,,,,,
10104102006,1102006,,,,,
10104102007,1102007,,,,,
10104102008,1102008,,,,,
10104102009,1102009,,,,,
10104102010,1102010,,,,,
10104102011,1102011,,,,,
10104102012,1102012,,,,,
10104102013,1102013,,,,,
10104102014,1102014,,,,,
10104102015,1102015,,,,,
10104102016,1102016,,,,,
10104102017,1102017,,,,,
10104102018,1102018,,,,,
10104102019,1102019,,,,,
10104102020,1102020,,,,,
10104102021,1102021,,,,,
10104102022,1102022,,,,,
10104102023,1102023,,,,,
10104102024,1102024,,,,,
10104102025,1102025,,,,,
10104102026,1102026,,,,,
10104102027,1102027,,,,,
10104102028,1102028,,,,,
10104102029,1102029,,,,,
